Datum;Uhrzeit;S1/2 - Solar;S7/2 - Temp. Aussen
2020-02-01;00:00:40;8;9,1
2020-02-01;00:05:40;8;9
2020-02-01;00:10:40;8;9
2020-02-01;00:15:40;8;9
2020-02-01;00:20:40;8;9,1
2020-02-01;00:25:40;8,1;9,1
2020-02-01;00:30:40;8;9,1
2020-02-01;00:35:40;8,2;9,1
2020-02-01;00:40:40;8,1;9,3
2020-02-01;00:45:40;8,2;9,3
2020-02-01;00:50:40;8,2;9,3
2020-02-01;00:55:40;8,2;9,2
2020-02-01;01:00:40;8,3;9,3
2020-02-01;01:05:40;8,3;9,3
2020-02-01;01:10:40;8,3;9,4
2020-02-01;01:15:40;8,3;9,3
2020-02-01;01:20:40;8,3;9,3
2020-02-01;01:25:40;8,3;9,3
2020-02-01;01:30:40;8,3;9,3
2020-02-01;01:35:40;8,4;9,3
2020-02-01;01:40:40;8,4;9,3
2020-02-01;01:45:40;8,4;9,4
2020-02-01;01:50:40;8,5;9,4
2020-02-01;01:55:40;8,4;9,3
2020-02-01;02:00:40;8,3;9,4
2020-02-01;02:05:40;8,4;9,4
2020-02-01;02:10:40;8,5;9,4
2020-02-01;02:15:40;8,5;9,5
2020-02-01;02:20:40;8,5;9,4
2020-02-01;02:25:40;8,4;9,3
2020-02-01;02:30:40;8,4;9,3
2020-02-01;02:35:40;8,4;9,4
2020-02-01;02:40:40;8,4;9,2
2020-02-01;02:45:40;8,3;9,2
2020-02-01;02:50:40;8,3;9,1
2020-02-01;02:55:40;8,3;9,1
2020-02-01;03:00:40;8,3;9,1
2020-02-01;03:05:40;8,2;9
2020-02-01;03:10:40;8,1;9
2020-02-01;03:15:40;8,1;9
2020-02-01;03:20:40;8;8,9
2020-02-01;03:25:40;7,8;8,9
2020-02-01;03:30:40;7,9;8,9
2020-02-01;03:35:40;7,8;8,8
2020-02-01;03:40:40;7,7;8,8
2020-02-01;03:45:40;7,7;8,8
2020-02-01;03:50:40;7,7;8,7
2020-02-01;03:55:40;7,6;8,6
2020-02-01;04:00:40;7,6;8,4
2020-02-01;04:05:40;7,4;8,4
2020-02-01;04:10:40;7,3;8,3
2020-02-01;04:15:40;7,2;8,2
2020-02-01;04:20:40;7,1;8
2020-02-01;04:25:40;7;7,9
2020-02-01;04:30:40;6,8;7,9
2020-02-01;04:35:40;6,8;7,9
2020-02-01;04:40:40;6,7;7,9
2020-02-01;04:45:40;6,4;7,8
2020-02-01;04:50:40;6,4;7,7
2020-02-01;04:55:40;6,3;7,6
2020-02-01;05:00:40;6,2;7,5
2020-02-01;05:05:40;6,1;7,4
2020-02-01;05:10:40;5,9;7,2
2020-02-01;05:15:40;5,8;7,1
2020-02-01;05:20:40;5,7;7,2
2020-02-01;05:25:40;5,6;7,2
2020-02-01;05:30:40;5,5;7,2
2020-02-01;05:35:40;5,4;7,2
2020-02-01;05:40:40;5,4;7,3
2020-02-01;05:45:40;5,4;7,3
2020-02-01;05:50:40;5,4;7,4
2020-02-01;05:55:40;5,4;7,5
2020-02-01;06:00:40;5,4;7,6
2020-02-01;06:05:40;5,5;7,7
2020-02-01;06:10:40;5,5;7,9
2020-02-01;06:15:40;5,7;7,9
2020-02-01;06:20:40;5,7;7,9
2020-02-01;06:25:40;5,7;7,9
2020-02-01;06:30:40;5,7;7,9
2020-02-01;06:35:40;5,8;7,9
2020-02-01;06:40:40;5,7;7,9
2020-02-01;06:45:40;5,8;7,9
2020-02-01;06:50:40;5,7;7,7
2020-02-01;06:55:40;5,6;7,6
2020-02-01;07:00:40;5,7;7,5
2020-02-01;07:05:40;5,6;7,3
2020-02-01;07:10:40;5,4;7,2
2020-02-01;07:15:40;5,4;7
2020-02-01;07:20:40;5,3;6,9
2020-02-01;07:25:40;5,1;6,7
2020-02-01;07:30:40;5,1;6,6
2020-02-01;07:35:40;5;6,5
2020-02-01;07:40:40;4,9;6,3
2020-02-01;07:45:40;4,8;6,2
2020-02-01;07:50:40;4,8;6,1
2020-02-01;07:55:40;4,9;5,9
2020-02-01;08:00:40;4,9;5,8
2020-02-01;08:05:40;5;5,8
2020-02-01;08:10:40;5,1;5,8
2020-02-01;08:15:40;5,3;5,9
2020-02-01;08:20:40;5,7;6
2020-02-01;08:25:40;6,8;6,2
2020-02-01;08:30:40;10,1;6,5
2020-02-01;08:35:40;14;6,7
2020-02-01;08:40:40;18;7,1
2020-02-01;08:45:40;22,4;7,6
2020-02-01;08:50:40;28,4;8
2020-02-01;08:55:40;34,4;8,4
2020-02-01;09:00:40;40,4;8,8
2020-02-01;09:05:40;45,4;9
2020-02-01;09:10:40;51,4;9,4
2020-02-01;09:15:40;60,5;9,9
2020-02-01;09:20:40;43,4;10,4
2020-02-01;09:25:40;51,1;10,8
2020-02-01;09:30:40;43,8;11,2
2020-02-01;09:35:40;48,7;11,6
2020-02-01;09:40:40;42,3;12,1
2020-02-01;09:45:40;51,3;12,5
2020-02-01;09:50:40;41,9;13
2020-02-01;09:55:40;51,4;13,4
2020-02-01;10:00:40;41,8;13,8
2020-02-01;10:05:40;42,8;14
2020-02-01;10:10:40;42,8;14,3
2020-02-01;10:15:40;43;14,4
2020-02-01;10:20:40;43,7;14,6
2020-02-01;10:25:40;44,1;14,9
2020-02-01;10:30:40;44,7;15
2020-02-01;10:35:40;45,2;15,4
2020-02-01;10:40:40;45,9;15,6
2020-02-01;10:45:40;46,5;15,9
2020-02-01;10:50:40;47,2;16,1
2020-02-01;10:55:40;47,9;16,3
2020-02-01;11:00:40;48,4;16,4
2020-02-01;11:05:40;49;16,3
2020-02-01;11:10:40;49,4;16,1
2020-02-01;11:15:40;49,6;16,1
2020-02-01;11:20:40;50,1;16,4
2020-02-01;11:25:40;50,6;16,4
2020-02-01;11:30:40;51;16,5
2020-02-01;11:35:40;51,4;16,6
2020-02-01;11:40:40;51,8;16,7
2020-02-01;11:45:40;52,4;16,8
2020-02-01;11:50:40;52,6;16,9
2020-02-01;11:55:40;53;16,9
2020-02-01;12:00:40;53,1;16,9
2020-02-01;12:05:40;53,4;16,9
2020-02-01;12:10:40;53,5;17
2020-02-01;12:15:40;53,9;17,2
2020-02-01;12:20:40;54;17,3
2020-02-01;12:25:40;54,2;17,4
2020-02-01;12:30:40;54,4;17,5
2020-02-01;12:35:40;54,9;17,7
2020-02-01;12:40:40;55;17,6
2020-02-01;12:45:40;55,4;17,7
2020-02-01;12:50:40;55,6;17,6
2020-02-01;12:55:40;55,9;17,3
2020-02-01;13:00:40;55,3;16,9
2020-02-01;13:05:40;56,1;17,1
2020-02-01;13:10:40;56,4;17
2020-02-01;13:15:40;56,4;16,9
2020-02-01;13:20:40;56,3;16,9
2020-02-01;13:25:40;55,9;16,9
2020-02-01;13:30:40;54,9;16,9
2020-02-01;13:35:40;55;16,8
2020-02-01;13:40:40;54,9;16,7
2020-02-01;13:45:40;54,8;16,5
2020-02-01;13:50:40;54,7;16,4
2020-02-01;13:55:40;54,4;16,1
2020-02-01;14:00:40;54;16
2020-02-01;14:05:40;54,2;15,9
2020-02-01;14:10:40;49,2;15,8
2020-02-01;14:15:40;55,4;15,5
2020-02-01;14:20:40;52;15,5
2020-02-01;14:25:40;58,6;15,5
2020-02-01;14:30:40;54,1;15,4
2020-02-01;14:35:40;60,4;15,4
2020-02-01;14:40:40;49,9;15,2
2020-02-01;14:45:40;59,9;15,1
2020-02-01;14:50:40;49,6;14,9
2020-02-01;14:55:40;52,5;14,9
2020-02-01;15:00:40;56,6;14,8
2020-02-01;15:05:40;57;14,6
2020-02-01;15:10:40;59,1;14,4
2020-02-01;15:15:40;49,3;14,4
2020-02-01;15:20:40;54,1;14,4
2020-02-01;15:25:40;57,2;14,4
2020-02-01;15:30:40;59,1;14,4
2020-02-01;15:35:40;47,7;14,3
2020-02-01;15:40:40;48,4;14,1
2020-02-01;15:45:40;47,3;14
2020-02-01;15:50:40;45,9;13,9
2020-02-01;15:55:40;44,9;13,9
2020-02-01;16:00:40;43,5;13,7
2020-02-01;16:05:40;42;13,6
2020-02-01;16:10:40;40,3;13,4
2020-02-01;16:15:40;38,7;13,3
2020-02-01;16:20:40;37,2;13
2020-02-01;16:25:40;35,8;12,8
2020-02-01;16:30:40;34,6;12,6
2020-02-01;16:35:40;33,5;12,4
2020-02-01;16:40:40;32,4;12,2
2020-02-01;16:45:40;31,3;11,9
2020-02-01;16:50:40;30,4;11,7
2020-02-01;16:55:40;29,5;11,5
2020-02-01;17:00:40;28,6;11,3
2020-02-01;17:05:40;27,8;11,1
2020-02-01;17:10:40;27;10,9
2020-02-01;17:15:40;26,2;10,7
2020-02-01;17:20:40;25,7;10,5
2020-02-01;17:25:40;24,8;10,3
2020-02-01;17:30:40;24,1;10
2020-02-01;17:35:40;23,5;9,8
2020-02-01;17:40:40;22,9;9,7
2020-02-01;17:45:40;22,2;9,4
2020-02-01;17:50:40;21,8;9,3
2020-02-01;17:55:40;21,2;9,1
2020-02-01;18:00:40;20,6;8,9
2020-02-01;18:05:40;19,9;8,8
2020-02-01;18:10:40;19,1;8,7
2020-02-01;18:15:40;18,6;8,5
2020-02-01;18:20:40;18,2;8,4
2020-02-01;18:25:40;17,9;8,3
2020-02-01;18:30:40;17,5;8,1
2020-02-01;18:35:40;17,3;7,9
2020-02-01;18:40:40;17;7,9
2020-02-01;18:45:40;16,6;7,7
2020-02-01;18:50:40;16,2;7,6
2020-02-01;18:55:40;16;7,5
2020-02-01;19:00:40;15,6;7,4
2020-02-01;19:05:40;15,3;7,2
2020-02-01;19:10:40;14,9;7,2
2020-02-01;19:15:40;14,6;7,2
2020-02-01;19:20:40;14,4;7,1
2020-02-01;19:25:40;14,1;6,9
2020-02-01;19:30:40;13,6;6,8
2020-02-01;19:35:40;13,5;6,7
2020-02-01;19:40:40;13,1;6,7
2020-02-01;19:45:40;13;6,4
2020-02-01;19:50:40;12,7;6,4
2020-02-01;19:55:40;12,5;6,4
2020-02-01;20:00:40;12,2;6,4
2020-02-01;20:05:40;12;6,2
2020-02-01;20:10:40;11,7;6,2
2020-02-01;20:15:40;11,6;6,1
2020-02-01;20:20:40;11,4;6
2020-02-01;20:25:40;11,1;6
2020-02-01;20:30:40;10,8;5,9
2020-02-01;20:35:40;10,7;5,9
